acc.date,aircraft_type,operator,location,fatalities,damage
1/3/2022,British Aerospace 4121 Jetstream 41,SA Airlink,0,0,Substantial
1/4/2022,British Aerospace 3101 Jetstream 31,LANHSA - Línea Aérea Nacional de Honduras S.A,0,0,Substantial
1/5/2022,Boeing 737-4H6,Caspian Airlines,0,0,Substantial
1/8/2022,Tupolev Tu-204-100C,"Cainiao, opb Aviastar-TU",0,0,Written Off
1/12/2022,Beechcraft 200 Super King Air,private,0,0,Written Off
1/16/2022,Airbus A320-214 (Wl),Star Flyer,0,0,None
1/19/2022,Cessna 208B Grand Caravan Ex,Mahan Air,0,0,Substantial
1/22/2022,Airbus A320-232,JetBlue Airways,0,0,Substantial
1/27/2022,Bombardier Cl-600-2B16 Challenger 604,Volare Aviation,0,0,Substantial
1/31/2022,Bombardier Cl-600-2B16 Challenger 604,Lima Delta Co Trustee,0,0,Substantial
1/31/2022,Beechcraft B300 King Air 350,"Air Tindi, opf Royal Canadian Air Force - RCAF",0,0,Substantial
2/2/2022,Hawker 1000,Skyview LLC,0,0,Substantial
2/5/2022,Cessna 208B Grand Caravan,Care Aviation,0,0,Substantial
2/7/2022,Embraer Erj-190-100Lr,Finnair,0,0,Substantial
2/8/2022,Antonov An-26,South Sudanese Air Force,0,0,Substantial
2/11/2022,Cessna 501 Citation I/Sp,Aviajet SA,0,0,Substantial
2/11/2022,Antonov An-2R,Kamchatsky Krechet,2,0,Written Off
2/14/2022,Let L-410Uvp-E3,Doren Air Congo,0,0,Written Off
2/15/2022,Atr 42-500,Japan Air Commuter,0,0,None
2/15/2022,Britten-Norman Bn-2A-9 Islander,Air Flamenco,0,0,Substantial
2/16/2022,Swearingen Sa226-At Merlin Iv,Colcharter,0,0,Substantial
2/18/2022,Embraer Emb-500 Phenom 100E,Eclipse Transport LLC,0,0,Substantial
2/21/2022,De Havilland Canada Dhc-3T Texas Turbine Otter,Bald Mountain Air Services,0,0,Substantial
2/21/2022,Raytheon Hawker 800Xp,Roper Aviation LLC,0,0,Substantial
2/23/2022,Cessna 208B Grand Caravan,Air Serv Limited,0,0,Substantial
2/23/2022,Antonov An-2,Taraz Zhana Alem,0,0,Written Off
2/24/2022,Antonov An-22A,Antonov Airlines,0,0,Substantial
2/24/2022,Antonov An-26-100,Antonov Airlines,0,0,Written Off
2/24/2022,Antonov An-74T,Antonov Airlines,0,0,Written Off
2/24/2022,Cessna 208B Supervan 900,GoJump Oceanside,0,0,Substantial
2/24/2022,Antonov An-26,Russian Air Force,,0,Written Off
2/24/2022,Antonov An-26,Ukraine Air Force,5,0,Written Off
2/26/2022,Cessna 208B Grand Caravan,AB Aviation,14,0,Written Off
2/27/2022,Antonov An-124-100,Antonov Airlines,0,0,Substantial
2/27/2022,Antonov An-225,Antonov Airlines,0,0,Written Off
2/28/2022,Cessna 208B Grand Caravan,Revolution Flight,0,0,Substantial
2/28/2022,Embraer Erj 170-200 Lr (Erj-175Lr),"American Eagle, opb Republic Airlines",0,0,Minor
2/28/2022,Cessna 208B Grand Caravan Ex,Spirit Avia Sentosa,0,0,Substantial
3/1/2022,Shaanxi Y-8Q,China Naval Air Force - Unit 92967,11,0,Written Off
3/2/2022,Embraer Emb-500 Phenom 100,Flyzar,0,0,Substantial
3/3/2022,Boeing 737-8As (Wl),Ryanair,0,0,None
3/5/2022,Dornier 228-101,Indian Coast Guard,0,0,Substantial
3/6/2022,Beechcraft 200 Super King Air,HLAF AETA LLC,0,0,Substantial
3/7/2022,Cessna 525B Citationjet Cj3,Ozark Air Services,0,0,Substantial
3/8/2022,Cessna 208 Caravan I,Bamaji Air,0,0,Written Off
3/9/2022,Honda Ha-420 Hondajet,Jet It LLC,0,0,Substantial
3/12/2022,Beechcraft 1900D,Bocas Air,0,0,Substantial
3/17/2022,Cessna 208B Super Cargomaster,Martinaire,0,0,Minor
3/17/2022,Cessna 208B Super Cargomaster,Martinaire,0,0,Substantial
3/21/2022,Boeing 737-89P (Wl),China Eastern Airlines,132,0,Written Off
3/26/2022,Boeing 767-346Er,Japan Airlines (JAL),0,0,None
3/30/2022,Cessna 208 Caravan I,"Skydive Costa d'Argento, lsf Gladwings",1,0,Written Off
4/1/2022,Embraer Emb-110P2 Bandeirante,TAG Airlines,0,0,Substantial
4/2/2022,Learjet 75,Georgia Crown Distributing Co.,0,0,Substantial
4/7/2022,Boeing 757-27A (Pcf),DHL Aero Expreso,0,0,Written Off
4/8/2022,Aero Modifications Ami Dc-3-65Tp,ALIANSA Colombia,0,0,Substantial
4/11/2022,Beechcraft A100 King Air,Thunder Airlines,0,0,Substantial
4/13/2022,Gulfstream American G-1159 Gulfstream Ii B,private,0,0,Written Off
4/13/2022,Basler Bt-67 Turbo 67,Servicio Aéreo de Policia,0,0,Substantial
4/13/2022,Cessna 208B Grand Caravan,Gem Air,1,0,Written Off
4/14/2022,Fairchild Sa227-Dc Metro 23,Denver Air Connection,0,0,Substantial
4/17/2022,Embraer Emb-505 Phenom 300,VOAR Cooperativa,0,0,Substantial
4/17/2022,Cessna 525B Citationjet Cj3,GP Aviation LLC,0,0,Substantial
4/22/2022,Antonov An-26B-100,Constanta Airlines,1,0,Written Off
4/26/2022,Boeing 737-8As (Wl),Ryanair,0,0,None
4/30/2022,Beechcraft 99A Airliner,Freight Runners Express,0,0,Substantial
4/30/2022,Cessna 208B Grand Caravan,Centre Ecole de Parachutisme Sportif de l'Ariège,0,0,Substantial
5/1/2022,Boeing 737-8As (Wl),SpiceJet,0,0,Unknown
5/3/2022,Shorts 360-300,Air Cargo Carriers,0,0,Substantial
5/6/2022,Beechcraft 200 Super King Air,Sociedad De Transporte Aéreo Movi Air SPA,0,0,Substantial
5/6/2022,Boeing 737-82R (Wl),Blue Air,0,0,Substantial
5/10/2022,Boeing 737-883 (Wl),SAS Scandinavian Airlines,0,0,None
5/11/2022,Viking Air Dhc-6 Twin Otter 400,Caverton Helicopters (Cameroun) Ltd.,11,0,Written Off
5/11/2022,Cessna 208 Caravan I,"LBK Serviço Aéreo Especializado, opf Skydive4Fun",2,0,Substantial
5/12/2022,Airbus A319-115 (Wl),Tibet Airlines,0,0,Written Off
5/20/2022,Embraer Emb-110P1 Bandeirante,Sales Taxi Aéreo,0,0,Substantial
5/21/2022,Boeing 737-7H4 (Wl),Southwest Airlines,0,0,None
5/24/2022,De Havilland Canada Dhc-3T Turbine Otter,Yakutat Coastal Airlines,0,0,Substantial
5/25/2022,Airbus A320-232,United Airlines,0,0,None
5/27/2022,Boeing 787-9 Dreamliner,Etihad Airways,0,0,Unknown
5/28/2022,Beechcraft B200 King Air,Unknown,0,0,Substantial
5/29/2022,De Havilland Canada Dhc-6 Twin Otter 300,Tara Air,22,0,Written Off
6/2/2022,Cessna 525 Citationjet,Kam Aviation LLC,0,0,Substantial
6/3/2022,Cessna 208B Supervan 900,GoJump Oceanside,1,0,Substantial
6/4/2022,Cessna 208 Caravan I,Connecticut Parachutists,0,0,Substantial
6/7/2022,Shorts Sc.7 Skyvan 3-200,Alaskan Air Charter,0,0,Substantial
6/7/2022,Bombardier Bd-100-1A10 Challenger 300,Pacific Dental Services,0,0,Minor
6/10/2022,Airbus A319,,0,0,None
6/13/2022,Cessna 550 Citation Ii,Northern Meridian LLC,0,0,Substantial
6/15/2022,Beechcraft B200 Super King Air,ASL - Air Service Liege,0,0,Substantial
6/16/2022,Boeing 737-3M8 (Qc),Gomair,0,0,Substantial
6/17/2022,Boeing 777-228Er,Air France,0,0,Minor
6/17/2022,Airbus A330-202,ITA Airways,0,0,Minor
6/21/2022,Mcdonnell Douglas Md-82,RED Air,0,0,Written Off
