acc.date,aircraft_type,operator,fatalities,damage,year
2022-01-03,British Aerospace 4121 Jetstream 41,Sa Airlink,0,Substantial,2022
2022-01-04,British Aerospace 3101 Jetstream 31,Lanhsa - Línea Aérea Nacional De Honduras S.A,0,Substantial,2022
2022-01-05,Boeing 737-4H6,Caspian Airlines,0,Substantial,2022
2022-01-08,Tupolev Tu-204-100C,"Cainiao, Opb Aviastar-Tu",0,Written Off,2022
2022-01-12,Beechcraft 200 Super King Air,Private,0,Written Off,2022
2022-01-16,Airbus A320-214 (Wl),Star Flyer,0,None,2022
2022-01-19,Cessna 208B Grand Caravan Ex,Mahan Air,0,Substantial,2022
2022-01-22,Airbus A320-232,Jetblue Airways,0,Substantial,2022
2022-01-27,Bombardier Cl-600-2B16 Challenger 604,Volare Aviation,0,Substantial,2022
2022-01-31,Bombardier Cl-600-2B16 Challenger 604,Lima Delta Co Trustee,0,Substantial,2022
2022-01-31,Beechcraft B300 King Air 350,"Air Tindi, Opf Royal Canadian Air Force - Rcaf",0,Substantial,2022
2022-02-02,Hawker 1000,Skyview Llc,0,Substantial,2022
2022-02-05,Cessna 208B Grand Caravan,Care Aviation,0,Substantial,2022
2022-02-07,Embraer Erj-190-100Lr,Finnair,0,Substantial,2022
2022-02-08,Antonov An-26,South Sudanese Air Force,0,Substantial,2022
2022-02-11,Cessna 501 Citation I/Sp,Aviajet Sa,0,Substantial,2022
2022-02-11,Antonov An-2R,Kamchatsky Krechet,2,Written Off,2022
2022-02-14,Let L-410Uvp-E3,Doren Air Congo,0,Written Off,2022
2022-02-15,Atr 42-500,Japan Air Commuter,0,None,2022
2022-02-15,Britten-Norman Bn-2A-9 Islander,Air Flamenco,0,Substantial,2022
2022-02-16,Swearingen Sa226-At Merlin Iv,Colcharter,0,Substantial,2022
2022-02-18,Embraer Emb-500 Phenom 100E,Eclipse Transport Llc,0,Substantial,2022
2022-02-21,De Havilland Canada Dhc-3T Texas Turbine Otter,Bald Mountain Air Services,0,Substantial,2022
2022-02-21,Raytheon Hawker 800Xp,Roper Aviation Llc,0,Substantial,2022
2022-02-23,Cessna 208B Grand Caravan,Air Serv Limited,0,Substantial,2022
2022-02-23,Antonov An-2,Taraz Zhana Alem,0,Written Off,2022
2022-02-24,Antonov An-22A,Antonov Airlines,0,Substantial,2022
2022-02-24,Antonov An-26-100,Antonov Airlines,0,Written Off,2022
2022-02-24,Antonov An-74T,Antonov Airlines,0,Written Off,2022
2022-02-24,Cessna 208B Supervan 900,Gojump Oceanside,0,Substantial,2022
2022-02-24,Antonov An-26,Russian Air Force,0,Written Off,2022
2022-02-24,Antonov An-26,Ukraine Air Force,5,Written Off,2022
2022-02-26,Cessna 208B Grand Caravan,Ab Aviation,14,Written Off,2022
2022-02-27,Antonov An-124-100,Antonov Airlines,0,Substantial,2022
2022-02-27,Antonov An-225,Antonov Airlines,0,Written Off,2022
2022-02-28,Cessna 208B Grand Caravan,Revolution Flight,0,Substantial,2022
2022-02-28,Embraer Erj 170-200 Lr (Erj-175Lr),"American Eagle, Opb Republic Airlines",0,Minor,2022
2022-02-28,Cessna 208B Grand Caravan Ex,Spirit Avia Sentosa,0,Substantial,2022
2022-03-01,Shaanxi Y-8Q,China Naval Air Force - Unit 92967,11,Written Off,2022
2022-03-02,Embraer Emb-500 Phenom 100,Flyzar,0,Substantial,2022
2022-03-03,Boeing 737-8As (Wl),Ryanair,0,None,2022
2022-03-05,Dornier 228-101,Indian Coast Guard,0,Substantial,2022
2022-03-06,Beechcraft 200 Super King Air,Hlaf Aeta Llc,0,Substantial,2022
2022-03-07,Cessna 525B Citationjet Cj3,Ozark Air Services,0,Substantial,2022
2022-03-08,Cessna 208 Caravan I,Bamaji Air,0,Written Off,2022
2022-03-09,Honda Ha-420 Hondajet,Jet It Llc,0,Substantial,2022
2022-03-12,Beechcraft 1900D,Bocas Air,0,Substantial,2022
2022-03-17,Cessna 208B Super Cargomaster,Martinaire,0,Minor,2022
2022-03-17,Cessna 208B Super Cargomaster,Martinaire,0,Substantial,2022
2022-03-21,Boeing 737-89P (Wl),China Eastern Airlines,132,Written Off,2022
2022-03-26,Boeing 767-346Er,Japan Airlines (Jal),0,None,2022
2022-03-30,Cessna 208 Caravan I,"Skydive Costa D'Argento, Lsf Gladwings",1,Written Off,2022
2022-04-01,Embraer Emb-110P2 Bandeirante,Tag Airlines,0,Substantial,2022
2022-04-02,Learjet 75,Georgia Crown Distributing Co.,0,Substantial,2022
2022-04-07,Boeing 757-27A (Pcf),Dhl Aero Expreso,0,Written Off,2022
2022-04-08,Aero Modifications Ami Dc-3-65Tp,Aliansa Colombia,0,Substantial,2022
2022-04-11,Beechcraft A100 King Air,Thunder Airlines,0,Substantial,2022
2022-04-13,Gulfstream American G-1159 Gulfstream Ii B,Private,0,Written Off,2022
2022-04-13,Basler Bt-67 Turbo 67,Servicio Aéreo De Policia,0,Substantial,2022
2022-04-13,Cessna 208B Grand Caravan,Gem Air,1,Written Off,2022
2022-04-14,Fairchild Sa227-Dc Metro 23,Denver Air Connection,0,Substantial,2022
2022-04-17,Embraer Emb-505 Phenom 300,Voar Cooperativa,0,Substantial,2022
2022-04-17,Cessna 525B Citationjet Cj3,Gp Aviation Llc,0,Substantial,2022
2022-04-22,Antonov An-26B-100,Constanta Airlines,1,Written Off,2022
2022-04-26,Boeing 737-8As (Wl),Ryanair,0,None,2022
2022-04-30,Beechcraft 99A Airliner,Freight Runners Express,0,Substantial,2022
2022-04-30,Cessna 208B Grand Caravan,Centre Ecole De Parachutisme Sportif De L'Ariège,0,Substantial,2022
2022-05-01,Boeing 737-8As (Wl),Spicejet,0,Unknown,2022
2022-05-03,Shorts 360-300,Air Cargo Carriers,0,Substantial,2022
2022-05-06,Beechcraft 200 Super King Air,Sociedad De Transporte Aéreo Movi Air Spa,0,Substantial,2022
2022-05-06,Boeing 737-82R (Wl),Blue Air,0,Substantial,2022
2022-05-10,Boeing 737-883 (Wl),Sas Scandinavian Airlines,0,None,2022
2022-05-11,Viking Air Dhc-6 Twin Otter 400,Caverton Helicopters (Cameroun) Ltd.,11,Written Off,2022
2022-05-11,Cessna 208 Caravan I,"Lbk Serviço Aéreo Especializado, Opf Skydive4Fun",2,Substantial,2022
2022-05-12,Airbus A319-115 (Wl),Tibet Airlines,0,Written Off,2022
2022-05-20,Embraer Emb-110P1 Bandeirante,Sales Taxi Aéreo,0,Substantial,2022
2022-05-21,Boeing 737-7H4 (Wl),Southwest Airlines,0,None,2022
2022-05-24,De Havilland Canada Dhc-3T Turbine Otter,Yakutat Coastal Airlines,0,Substantial,2022
2022-05-25,Airbus A320-232,United Airlines,0,None,2022
2022-05-27,Boeing 787-9 Dreamliner,Etihad Airways,0,Unknown,2022
2022-05-28,Beechcraft B200 King Air,Unknown,0,Substantial,2022
2022-05-29,De Havilland Canada Dhc-6 Twin Otter 300,Tara Air,22,Written Off,2022
2022-06-02,Cessna 525 Citationjet,Kam Aviation Llc,0,Substantial,2022
2022-06-03,Cessna 208B Supervan 900,Gojump Oceanside,1,Substantial,2022
2022-06-04,Cessna 208 Caravan I,Connecticut Parachutists,0,Substantial,2022
2022-06-07,Shorts Sc.7 Skyvan 3-200,Alaskan Air Charter,0,Substantial,2022
2022-06-07,Bombardier Bd-100-1A10 Challenger 300,Pacific Dental Services,0,Minor,2022
2022-06-10,Airbus A319,unknown,0,None,2022
2022-06-13,Cessna 550 Citation Ii,Northern Meridian Llc,0,Substantial,2022
2022-06-15,Beechcraft B200 Super King Air,Asl - Air Service Liege,0,Substantial,2022
2022-06-16,Boeing 737-3M8 (Qc),Gomair,0,Substantial,2022
