,acc.date,type,reg,operator,fat,location,dmg
0,3 Jan 2022,British Aerospace 4121 Jetstream 41,ZS-NRJ,SA Airlink,0,near Venetia Mine Airport,sub
1,4 Jan 2022,British Aerospace 3101 Jetstream 31,HR-AYY,LANHSA - Línea Aérea Nacional de Honduras S.A,0,Roatán-Juan Manuel Gálvez International Airport (RTB),sub
2,5 Jan 2022,Boeing 737-4H6,EP-CAP,Caspian Airlines,0,Isfahan-Shahid Beheshti Airport (IFN),sub
3,8 Jan 2022,Tupolev Tu-204-100C,RA-64032,"Cainiao, opb Aviastar-TU",0,Hangzhou Xiaoshan International Airport (HGH),w/o
4,12 Jan 2022,Beechcraft 200 Super King Air,,private,0,"Machakilha, Toledo District, Grahem Creek area",w/o
5,16 Jan 2022,Airbus A320-214 (WL),JA24MC,Star Flyer,0,near Okayama City,non
6,19 Jan 2022,Cessna 208B Grand Caravan EX,YV3033,Mahan Air,0,"near Vakilabad, Arzuiyeh",sub
7,22 Jan 2022,Airbus A320-232,N760JB,JetBlue Airways,0,"Hayden-Yampa Valley Airport, CO (HDN)",sub
8,27 Jan 2022,Bombardier CL-600-2B16 Challenger 604,2-SLOW,Volare Aviation,0,Heraklion-N. Kazantzakis Airport (HER/LGIR),sub
9,31 Jan 2022,Bombardier CL-600-2B16 Challenger 604,N999PX,Lima Delta Co Trustee,0,London-Stansted Airport (STN),sub
10,31 Jan 2022,Beechcraft B300 King Air 350,C-GEAS,"Air Tindi, opf Royal Canadian Air Force - RCAF",0,"Thunder Bay Airport, ON (YQT)",sub
11,2 Feb 2022,Hawker 1000,N207K,Skyview LLC,0,"Islip-Long Island MacArthur Airport, NY (ISP)",sub
12,5 Feb 2022,Cessna 208B Grand Caravan,5H-TAZ,Care Aviation,0,New Fangak Airstrip,sub
13,7 Feb 2022,Embraer ERJ-190-100LR,OH-LKK,Finnair,0,København-Kastrup Airport (CPH),sub
14,8 Feb 2022,Antonov An-26,SP-402,South Sudanese Air Force,0,Agok Airstrip,sub
15,11 Feb 2022,Cessna 501 Citation I/SP,LV-JUO,Aviajet SA,0,"Morón-Ituzaingo Airport, BA",sub
16,11 Feb 2022,Antonov An-2R,RA-33599,Kamchatsky Krechet,2,"1 km SW of Koryaki, Yelizovsky district, Kamchatka",w/o
17,14 Feb 2022,Let L-410UVP-E3,9S-GFA,Doren Air Congo,0,Bukavu-Kavumu Airport (BKY),w/o
18,15 Feb 2022,ATR 42-500,JA04JC,Japan Air Commuter,0,55 km NNW of Osaka Airport,non
19,15 Feb 2022,Britten-Norman BN-2A-9 Islander,N821RR,Air Flamenco,0,Culebra Airport (CPX),sub
20,16 Feb 2022,Swearingen SA226-AT Merlin IV,HK-5225,Colcharter,0,San Andres Island-Gustavo Rojas Pinilla Airport (ADZ),sub
21,18 Feb 2022,Embraer EMB-500 Phenom 100E,N68NH,Eclipse Transport LLC,0,"Detroit-Coleman A. Young International Airport, MI (DET)",sub
22,21 Feb 2022,de Havilland Canada DHC-3T Texas Turbine Otter,N413JP,Bald Mountain Air Services,0,"Umiat Airport, AK (UMT)",sub
23,21 Feb 2022,Raytheon Hawker 800XP,N99AP,Roper Aviation LLC,0,"Aspen-Pitkin County Airport, CO (ASE/KASE)",sub
24,23 Feb 2022,Cessna 208B Grand Caravan,5X-ASD,Air Serv Limited,0,Bor Airport (HSBR),sub
25,23 Feb 2022,Antonov An-2,,Taraz Zhana Alem,0,10 km S of Aralsk,w/o
26,24 Feb 2022,Antonov An-22A,UR-09307,Antonov Airlines,0,Kyiv-Gostomel Airport (GML),sub
27,24 Feb 2022,Antonov An-26-100,UR-13395,Antonov Airlines,0,Kyiv-Gostomel Airport (GML),w/o
28,24 Feb 2022,Antonov An-74T,UR-74010,Antonov Airlines,0,Kyiv-Gostomel Airport (GML),w/o
29,24 Feb 2022,Cessna 208B Supervan 900,N10JA,GoJump Oceanside,0,"0,4 km NE of Oceanside Municipal Airport, CA (OCN/KOKB)",sub
30,24 Feb 2022,Antonov An-26,RF-36074,Russian Air Force,,"near Ostrogozhsk, Voronezh Region",w/o
31,24 Feb 2022,Antonov An-26,59 blue,Ukraine Air Force,5,ca 2 km N of Zhukivtsi,w/o
32,26 Feb 2022,Cessna 208B Grand Caravan,5H-MZA,AB Aviation,14,"2,5 km NW off Mohéli-Bandar es Eslam Airport (NWA)",w/o
33,27 Feb 2022,Antonov An-124-100,UR-82009,Antonov Airlines,0,Kyiv-Gostomel Airport (GML),sub
34,27 Feb 2022,Antonov An-225,UR-82060,Antonov Airlines,0,Kyiv-Gostomel Airport (GML),w/o
35,28 Feb 2022,Cessna 208B Grand Caravan,N108RF,Revolution Flight,0,"Campbellton, TX",sub
36,28 Feb 2022,Embraer ERJ 170-200 LR (ERJ-175LR),N402YX,"American Eagle, opb Republic Airlines",0,"Washington-Ronald Reagan National Airport, DC (DCA)",min
37,28 Feb 2022,Cessna 208B Grand Caravan EX,PK-FSW,Spirit Avia Sentosa,0,Bilogai/Sugapa Airport (ZGP),sub
38,1 Mar 2022,Shaanxi Y-8Q,,China Naval Air Force - Unit 92967,11,"off Sanya, Hainan Province",w/o
39,2 Mar 2022,Embraer EMB-500 Phenom 100,LV-GQN,Flyzar,0,"Angra dos Reis Airport, RJ (SDAG)",sub
40,3 Mar 2022,Boeing 737-8AS (WL),EI-DHH,Ryanair,0,Ibiza Airport (LEIB),non
41,5 Mar 2022,Dornier 228-101,CG756,Indian Coast Guard,0,Kanpur Air Force Station (VICX),sub
42,6 Mar 2022,Beechcraft 200 Super King Air,N8170J,HLAF AETA LLC,0,"Gulfport-Biloxi International Airport, MS (GPT)",sub
43,7 Mar 2022,Cessna 525B CitationJet CJ3,N22AU,Ozark Air Services,0,"Baltimore-Martin State Airport, MD (MTN)",sub
44,8 Mar 2022,Cessna 208 Caravan I,C-GIPR,Bamaji Air,0,"17 km NNW of Sioux Lookout Airport, ON (YXL)",w/o
45,9 Mar 2022,Honda HA-420 HondaJet,N903JT,Jet It LLC,0,"Pittsburgh-Allegheny County Airport, PA (AGC)",sub
46,12 Mar 2022,Beechcraft 1900D,HP-1948BT,Bocas Air,0,Panama City Albrook-Marcos A. Gelabert International Airport (PAC),sub
47,17 Mar 2022,Cessna 208B Super Cargomaster,N78SA,Martinaire,0,"Dallas/Fort Worth International Airport, TX (DFW/KDFW)",min
48,17 Mar 2022,Cessna 208B Super Cargomaster,N9469B,Martinaire,0,"Dallas/Fort Worth International Airport, TX (DFW/KDFW)",sub
49,21 Mar 2022,Boeing 737-89P (WL),B-1791,China Eastern Airlines,132,"20 km SW of Wuzhou, Tengxian County",w/o
50,26 Mar 2022,Boeing 767-346ER,JA603J,Japan Airlines (JAL),0,90 km E of Nagoya,non
51,30 Mar 2022,Cessna 208 Caravan I,D-FLIC,"Skydive Costa d'Argento, lsf Gladwings",1,Säntis Mountain,w/o
52,1 Apr 2022,Embraer EMB-110P2 Bandeirante,TG-TAN,TAG Airlines,0,Belize City-Philip S.W. Goldson International Airport (BZE),sub
53,2 Apr 2022,Learjet 75,N877W,Georgia Crown Distributing Co.,0,"Morristown Municipal Airport, NJ (MMU)",sub
54,7 Apr 2022,Boeing 757-27A (PCF),HP-2010DAE,DHL Aero Expreso,0,San José-Juan Santamaria International Airport (SJO),w/o
55,8 Apr 2022,Aero Modifications AMI DC-3-65TP,HK-5016,ALIANSA Colombia,0,San Felipe Airport,sub
56,11 Apr 2022,Beechcraft A100 King Air,C-GYQK,Thunder Airlines,0,"Timmins Airport, ON (YTS)",sub
57,13 Apr 2022,Gulfstream American G-1159 Gulfstream II B,N511PK,private,0,within Venezuela,w/o
58,13 Apr 2022,Basler BT-67 Turbo 67,PNC0257,Servicio Aéreo de Policia,0,Villavicencio-La Vanguardia Airport (VVC),sub
59,13 Apr 2022,Cessna 208B Grand Caravan,N928JP,Gem Air,1,"0,7 km NE of Burley Municipal Airport, ID (BYI)",w/o
60,14 Apr 2022,Fairchild SA227-DC Metro 23,N820DC,Denver Air Connection,0,"Denver International Airport, CO (DEN/KDEN)",sub
61,17 Apr 2022,Embraer EMB-505 Phenom 300,PP-LGD,VOAR Cooperativa,0,"Maraú-Barra Grande Airport, BA (SIRI)",sub
62,17 Apr 2022,Cessna 525B CitationJet CJ3,N225SC,GP Aviation LLC,0,"Caldwell Wright Airport, NJ (CDW)",sub
63,22 Apr 2022,Antonov An-26B-100,UR-UZB,Constanta Airlines,1,Mykhailivka,w/o
64,26 Apr 2022,Boeing 737-8AS (WL),EI-ENK,Ryanair,0,Almería Airport (LEI),non
65,30 Apr 2022,Beechcraft 99A Airliner,N699CZ,Freight Runners Express,0,"Milwaukee-General Mitchell Airport (MKE/KMKE), Milwaukee, WI",sub
66,30 Apr 2022,Cessna 208B Grand Caravan,F-GXMP,Centre Ecole de Parachutisme Sportif de l'Ariège,0,Pamiers/Les Pujols Airport,sub
67,1 May 2022,Boeing 737-8AS (WL),VT-SLH,SpiceJet,0,E of Durgapur,unk
68,3 May 2022,Shorts 360-300,N744LG,Air Cargo Carriers,0,San Juan-Luis Muñoz Marín International Airport (SJU),sub
69,6 May 2022,Beechcraft 200 Super King Air,CC-CDY,Sociedad De Transporte Aéreo Movi Air SPA,0,Santiago-Arturo Merino Benitez Airport (SCL),sub
70,6 May 2022,Boeing 737-82R (WL),YR-BMM,Blue Air,0,Napoli-Capodichino Airport (NAP),sub
71,10 May 2022,Boeing 737-883 (WL),LN-RRH,SAS Scandinavian Airlines,0,between Stavanger and Oslo,non
72,11 May 2022,Viking Air DHC-6 Twin Otter 400,TJ-TIM,Caverton Helicopters (Cameroun) Ltd.,11,near Nanga Eboko,w/o
73,11 May 2022,Cessna 208 Caravan I,PT-OQR,"LBK Serviço Aéreo Especializado, opf Skydive4Fun",2,"Boituva, SP",sub
74,12 May 2022,Airbus A319-115 (WL),B-6425,Tibet Airlines,0,Chongqing Jiangbei International Airport (CKG/ZUCK),w/o
75,20 May 2022,Embraer EMB-110P1 Bandeirante,PT-SHN,Sales Taxi Aéreo,0,"Eldorado do Sul, RS",sub
76,21 May 2022,Boeing 737-7H4 (WL),N256WN,Southwest Airlines,0,"Tacoma, Washington",non
77,24 May 2022,de Havilland Canada DHC-3T Turbine Otter,N703TH,Yakutat Coastal Airlines,0,"near Dry Bay Airport, AK",sub
78,25 May 2022,Airbus A320-232,N483UA,United Airlines,0,"Springfield, MO",non
79,27 May 2022,Boeing 787-9 Dreamliner,A6-BLF,Etihad Airways,0,between Abu Dhabi and Lahore,unk
80,28 May 2022,Beechcraft B200 King Air,ZS-PTE,Unknown,0,near Lynedoch Private Airfield,sub
81,29 May 2022,de Havilland Canada DHC-6 Twin Otter 300,9N-AET,Tara Air,22,Sanosware,w/o
82,2 Jun 2022,Cessna 525 CitationJet,N131PL,Kam Aviation LLC,0,"Natchitoches Regional Airport, LA",sub
83,3 Jun 2022,Cessna 208B Supervan 900,N7581F,GoJump Oceanside,1,"0,5 km E of Oceanside Municipal Airport, CA (OCN/KOKB)",sub
84,4 Jun 2022,Cessna 208 Caravan I,N90JF,Connecticut Parachutists,0,"Ellington Airport, CT (7B9)",sub
85,7 Jun 2022,Shorts SC.7 Skyvan 3-200,N731E,Alaskan Air Charter,0,"Chisana Field, AK (CZN)",sub
86,7 Jun 2022,Bombardier BD-100-1A10 Challenger 300,N694PD,Pacific Dental Services,0,"Hawthorne Airport, CA (HHR)",min
87,10 Jun 2022,Airbus A319,,,0,near Düsseldorf,non
88,13 Jun 2022,Cessna 550 Citation II,N550GX,Northern Meridian LLC,0,"Fargo-Hector International Airport, ND (FAR)",sub
89,15 Jun 2022,Beechcraft B200 Super King Air,OO-LET,ASL - Air Service Liege,0,Liège Airport (LGG),sub
90,16 Jun 2022,Boeing 737-3M8 (QC),9S-ABJ,Gomair,0,Kananga Airport (KGA),sub
91,17 Jun 2022,Boeing 777-228ER,F-GSPQ,Air France,0,"New York-John F. Kennedy International Airport, NY (JFK)",min
92,17 Jun 2022,Airbus A330-202,EI-EJL,ITA Airways,0,"New York-John F. Kennedy International Airport, NY (JFK)",min
93,21 Jun 2022,McDonnell Douglas MD-82,HI1064,RED Air,0,"Miami International Airport, FL (MIA)",w/o
94,21 Jun 2022,Antonov An-2R,RA-17742,Techservice,2,"46 km SE of Sebyan-Kyuel, Kobyaysky District",w/o
95,22 Jun 2022,Learjet 55C,YV3304,private,6,7 km SSE of Charallave-Óscar Machado Zuloaga Airport,w/o
96,22 Jun 2022,Antonov An-30M,30001,NPP Mir,0,70 km SE of Olenyok Airport (ONK),sub
97,24 Jun 2022,Fokker F-27 Friendship 500,5Y-CCE,Icon Aviation,0,Juba Airport (JUB),unk
98,24 Jun 2022,Ilyushin Il-76MD,RF-78778,Russian Air Force,5,5 km ESE of Ryazan-Dyagilevo Air Base,w/o
99,25 Jun 2022,de Havilland Canada DHC-8-402Q Dash 8,JA854A,"All Nippon Airways - ANA, opb ANA Wings",0,40 km WSW of Tokushima Airport,non
100,26 Jun 2022,Cessna 208 Supervan 900,N265KP,Alaska Seaplanes,0,"Elfin Cove Seaplane Base, AK (ELV)",sub
101,xx Jun 2022,Antonov An-2R,RA-17951,Voskhod LLC,0,near Oymyakon Airfield,sub
102,1 Jul 2022,Antonov An-12BK,UR-11316,Motor Sich,0,Uzhgorod Airport (UKLU),sub
103,1 Jul 2022,Boeing 737-7H4 (WL),N480WN,Southwest Airlines,0,"Santa Ana-John Wayne International Airport, CA (SNA/KSNA)",non
104,1 Jul 2022,Learjet 35A,LV-BPA,Flying America SA,4,"Río Grande-Gobernador Ramón Trejo Noel International Airport, TF (RGA)",w/o
105,13 Jul 2022,Gulfstream G450,HZ-A23,Alpha Star Aviation Services,0,Jeddah-King Abdulaziz International Airport (JED),sub
106,13 Jul 2022,Cessna 208B Super Cargomaster,N877FE,Corporate Air,0,"Salt Lake City International Airport, UT (SLC)",sub
107,15 Jul 2022,Raytheon Beechjet 400A,N400MX,"Aircraft Management Group, Inc",0,"Brunswick-Glynco Jetport, GA (BQK)",sub
108,15 Jul 2022,Antonov An-2R,RA-02240,private,2,"Prochnookopskaya, Novokubansky district, Krasnodar region",sub
109,16 Jul 2022,Boeing 737-81D (WL),JA807X,Solaseed Air,0,120 km SW of Naha Airport,non
110,16 Jul 2022,Fokker 50,5Y-JSN,Icon Aviation,0,Rubkona Airport,sub
111,16 Jul 2022,Antonov An-12BK,UR-CIC,Meridian,8,16 km W of Kavala,w/o
112,18 Jul 2022,Fokker 50,5Y-JXN,Jubba Airways,0,Mogadishu Aden Adde International Airport (MGQ),w/o
113,20 Jul 2022,Airbus A321-271NX,HA-LGA,Wizz Air,0,Budapest Ferenc Liszt International Airport (BUD/LHBP),non
114,21 Jul 2022,Cessna 680 Citation Sovereign,C-GDCP,Anderson Air,0,"Kotzebue-Ralph Wien Memorial Airport, AK (OTZ)",sub
115,22 Jul 2022,Antonov An-2,ST-AUD,Crop Protection Company,0,W of Omdurman Al Hara,sub
116,24 Jul 2022,Boeing 717-2BD,N945AT,Delta Air Lines,0,"Montreal-Pierre Elliott Trudeau International Airport, QC (YUL)",sub
117,25 Jul 2022,Airbus A320-214,N950AV,Avianca,0,Rionegro/Medellín-José María Córdova Airport (MDE/SKRG),non
118,27 Jul 2022,Bombardier BD-100-1A10 Challenger 300,N557XJ,VistaJet,0,"San Francisco, CA",non
119,28 Jul 2022,de Havilland Canada DHC-3T Vazar Turbine Otter,N320KT,Rust's Flying Service,0,"Talkeetna Airport, AK (TKA)",sub
120,29 Jul 2022,CASA C-212 Aviocar 200,N497CA,Rampart Aviation,1,"Raleigh/Durham Airport, NC (RDU)",sub
121,30 Jul 2022,Boeing 737-86N (WL),HS-DBR,Nok Air,0,Chiang Rai-Mae Fah Luang International Airport (CEI),sub
122,5 Aug 2022,Boeing 777-FDZ,A7-BFH,Qatar Airways Cargo,0,"Chicago-O'Hare International Airport, IL (ORD/KORD)",sub
123,6 Aug 2022,Boeing 757-251 (WL),N540US,Delta Air Lines,0,"Atlanta Hartsfield-Jackson International Airport, GA (ATL/KATL)",sub
124,7 Aug 2022,IAI 1124 Westwind,PR-OMX,Brasil Vida Táxi Aéreo,0,"Goiânia-Nacional de Aviação Aerodrome, GO (SBNV)",sub
125,15 Aug 2022,Cessna 560 Citation Encore,N977MR,"Raber Flight Services, LLC",0,"Aspen-Pitkin County Airport, CO (ASE/KASE)",sub
126,17 Aug 2022,Antonov An-24B,RA-47848,Angara Airlines,0,Ust-Kut Airport (UKX),sub
127,19 Aug 2022,Boeing 737-824 (WL),N73270,United Airlines,0,"Pharisburg, OH",non
128,20 Aug 2022,Beechcraft 99,N399TS,PACC Air,0,"Oshkosh-Wittman Field, WI (OSH)",sub
